pipe_name,metadata_description,metadata_tool,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_tool_type,metadata_usage,metadata_comment,metadata_reference
\win_svc*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\windows.update.manager*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\wkssvc*,SMB Protocol,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,high,info,offensive_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\comnap,cobra - The orchestrator creates two named pipes in order to communicate with stage 3 or to receive messages from an external machine,cobra,Malware,https://www.gdatasoftware.com/blog/2015/01/23926-analysis-of-project-cobra,high,N/A,high,offensive_tool,detection rule,N/A,https://www.gdatasoftware.com/blog/2015/01/23926-analysis-of-project-cobra
\sdlrpc,cobra - The orchestrator creates two named pipes in order to communicate with stage 3 or to receive messages from an external machine,cobra,Malware,https://www.gdatasoftware.com/blog/2015/01/23926-analysis-of-project-cobra,high,N/A,high,offensive_tool,Hunting,N/A,https://www.gdatasoftware.com/blog/2015/01/23926-analysis-of-project-cobra
\coerced*,CoercedPotato From Patate (LOCAL/NETWORK SERVICE) to SYSTEM,CoercedPotato,Privilege Escalation,https://github.com/Prepouce/CoercedPotato,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/CoercedPotato.csv
\gruntsvc*,covenant - SMB/Windows Admin Shares,covenant,Lateral Movement,https://github.com/olafhartong/sysmon-modular/blob/a9ff298f6d228c181be71b213c73d111c6096f41/17_18_pipe_event/include_covenant.xml#L5C112-L5C121,high,N/A,medium,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/covenant.csv
\svcctl,Service Control Manager Remote Protocol used by many lateral movement tools,CrackMapExec,Lateral Movement,https://github.com/byt3bl33d3r/CrackMapExec/blob/d8c50c8cbaf36c29329078662473f75e440978d2/cme/protocols/smb.py#L635,critical,high,info,offensive_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/crackmapexec.csv
\CHECKONE,Clop Ransomware Cryptinject,CryptInject,Ransomware,https://www.joesandbox.com/analysis/883539/0/html,critical,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\cuckoo,Attempts to detect Cuckoo Sandbox through the presence of \cuckoo,cuckoo,Defense Evasion,https://github.com/cuckoosandbox/community/blob/14864b9fa2ba2576ca11887caf37616eaec6d941/modules/signatures/windows/antisandbox_cuckoo_files.py#L32,high,N/A,high,greyware_tool,detection rule,N/A,https://github.com/cuckoosandbox/community/blob/14864b9fa2ba2576ca11887caf37616eaec6d941/modules/signatures/windows/antisandbox_cuckoo_files.py#L32
\innocent,LPE exploit for CVE-2023-36802,CVE-2023-21768,Privilege Escalation,https://github.com/chompie1337/Windows_MSKSSRV_LPE_CVE-2023-36802/blob/1b0d39cdd35cfd6dd6f44063122fde7fdc3b9982/Windows_MSKSSRV_LPE_CVE-2023-36802/exploit.c#L66C15-L66C36,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/chompie1337/Windows_MSKSSRV_LPE_CVE-2023-36802/blob/1b0d39cdd35cfd6dd6f44063122fde7fdc3b9982/Windows_MSKSSRV_LPE_CVE-2023-36802/exploit.c#L66C15-L66C36
\ioring_in,CVE-2023-21768 exploits,CVE-2023-21768,Privilege Escalation,https://github.com/chompie1337/Windows_MSKSSRV_LPE_CVE-2023-36802/blob/1b0d39cdd35cfd6dd6f44063122fde7fdc3b9982/Windows_MSKSSRV_LPE_CVE-2023-36802/exploit.c#L66C15-L66C36;metasploit-framework\external\source\exploits\CVE-2023-21768\ioring.c;vipermsf\external\source\exploits\CVE-2023-21768\ioring.c,high,N/A,high,offensive_tool,detection rule,N/A,https://github.com/chompie1337/Windows_MSKSSRV_LPE_CVE-2023-36802/blob/1b0d39cdd35cfd6dd6f44063122fde7fdc3b9982/Windows_MSKSSRV_LPE_CVE-2023-36802/exploit.c#L66C15-L66C36;metasploit-framework\external\source\exploits\CVE-2023-21768\ioring.c;vipermsf\external\source\exploits\CVE-2023-21768\ioring.c
\ioring_out,CVE-2023-21768 exploits,CVE-2023-21768,Privilege Escalation,https://github.com/chompie1337/Windows_MSKSSRV_LPE_CVE-2023-36802/blob/1b0d39cdd35cfd6dd6f44063122fde7fdc3b9982/Windows_MSKSSRV_LPE_CVE-2023-36802/exploit.c#L66C15-L66C36;metasploit-framework\external\source\exploits\CVE-2023-21768\ioring.c;vipermsf\external\source\exploits\CVE-2023-21768\ioring.c,high,N/A,high,offensive_tool,detection rule,N/A,https://github.com/chompie1337/Windows_MSKSSRV_LPE_CVE-2023-36802/blob/1b0d39cdd35cfd6dd6f44063122fde7fdc3b9982/Windows_MSKSSRV_LPE_CVE-2023-36802/exploit.c#L66C15-L66C36;metasploit-framework\external\source\exploits\CVE-2023-21768\ioring.c;vipermsf\external\source\exploits\CVE-2023-21768\ioring.c
*CyberGhost*,CyberGhost VPN Service,CyberGhost VPN,VPN,https://www.cyberghostvpn.com/,medium,none,medium,greyware_tool,Hunting,named pipe observed: \W11LabCyberGhost8Service + \W11LabCyberGhost8ServiceUpdateCallbacks + \W11LabCyberGhost8ServiceVPN,https://www.cyberghostvpn.com/
\TCRmtShellAgentModule_*,Dameware Remote Everywhere Agent (\Dameware Remote Everywhere Agent\BASupSrvc.exe + \BASupRegEditHlpr.exe + \TCRmtShellAgent.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\MSPARegEditHelper_*,Dameware Remote Everywhere Agent (\Dameware Remote Everywhere Agent\BASupSrvc.exe + \BASupRegEditHlpr.exe + \TCRmtShellAgent.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\MSPxTSHlpSrv_*,Dameware Remote Everywhere Agent (\Dameware Remote Everywhere Agent\BASupSrvc.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\TCDirectChat_*,Dameware Remote Everywhere Agent (\Dameware Remote Everywhere Agent\BASupSrvc.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\TCRmtShellAgentModule_*,Dameware Remote Everywhere Agent (\Dameware Remote Everywhere Agent\BASupSrvc.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\MSPAClipboardHelper_*,Dameware (BASupClpHlp.exe + BASEClient.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\clipboardHelperProgressBar_*,Dameware (BASupClpHlp.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\TCRmtShellViewerModule_*,Dameware (TCRmtShellViewer.exe + BASEClient.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\dre_video_uploader,Dameware (\tkcuploader.exe + \BAConsoleApp.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\dreconsole_main_instance,Dameware Remote Everywhere Agent (BAConsoleApp.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\tcpreload_*,Dameware Remote Everywhere Agent (BAConsoleApp.exe + BASEClient.exe),Dameware,RMM,https://www.solarwinds.com/dameware-remote-everywhere,high,none,high,greyware_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Dameware.csv
\win-sux-no-async-anon-pipe-*-*,dns2tcp,dns2tcp,Defense Evasion,https://github.com/alex-sector/dns2tcp/blob/52935452ba771b96e96f622127e70ec9ef01c0b4/client/command.c#L149,high,N/A,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/dns2tcp.csv
\docker*,docker usage,docker,Compliance,https://github.com/mthcht/awesome-lists,info,N/A,info,greyware_tool,Hunting,N/A,https://github.com/mthcht/awesome-lists
\DogCraftX,Dograft Backdoor,Dograft,Malware,https://github.com/roadwy/DefenderYara/blob/9bbdb7f9fd3513ce30aa69cd1d88830e3cf596ca/Backdoor/Win32/Dograft/Backdoor_Win32_Dograft_A.yar#L10,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\dbxsvc,Dropbox usage,Dropbox,Data Exfiltration,https://github.com/mthcht/awesome-lists,high,low,medium,greyware_tool,Hunting,N/A,https://github.com/mthcht/awesome-lists
\{AAFFC4F0-E04B-4C7C-B40A-B45DE971E81E},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{AB6172ED-8105-4996-9D2A-597B5F827501},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{0710880F-3A55-4A2D-AA67-1123384FD859},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{6C51A4DB-E3DE4FEB-86A4-32F7F8E73B99},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{7F9BCFC0-B36B-45EC-B377-D88597BE5D78},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\{57D2DE92-CE17-4A57-BFD7-CD3C6E965C6A},DLL backdoor that is used for network infection - accepts commands via this named pipe,DUQU 2.0,Malware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07205202/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,high,low,medium,offensive_tool,detection rule,N.A,https://github.com/mthcht/awesome-lists
\3obdw5e5w4,Dyre infostealer Dyzap,Dyzap,Malware,https://community.f5.com/kb/technicalarticles/dyre---no-rest-for-the-wicked/278457,critical,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\g2fabg5713,Dyre infostealer Dyzap,Dyzap,Malware,https://baesystemsai.blogspot.com/2015/11/peering-into-dyres-traffic.html,critical,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\RangisPipe6,Dyre infostealer Dyzap,Dyzap,Malware,https://stopmalvertising.com/malware-reports/introduction-to-dyreza-the-banker-that-bypasses-ssl.html,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\mvnwihe2w,Dyre infostealer Dyzap,Dyzap,Malware,https://docs.broadcom.com/doc/dyre-emerging-threat,critical,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\2f1e5f214354r,Dyre infostealer Dyzap,Dyzap,Malware,https://docs.broadcom.com/doc/dyre-emerging-threat,critical,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\EasySystem,Quick and dirty System (Power)Shell using NamedPipe impersonation - also used by Cn33liz/P0wnedShell,EasySystem,Defense Evasion,https://github.com/Cn33liz/EasySystem/blob/92662bd389c733e73d7dd6b7107efa575b9ce790/EasySystem/EasySystem.c#L85,high,N/A,high,offensive_tool,detection rule,N/A,https://github.com/Cn33liz/EasySystem/blob/92662bd389c733e73d7dd6b7107efa575b9ce790/EasySystem/EasySystem.c#L85
\warpzone8,elevationstation elevate to SYSTEM - Metasploit and PSEXEC getsystem alternative,elevationstation,Privilege Escalation,https://github.com/g3tsyst3m/elevationstation/blob/fe3a2c64eaaf2d8e2148f18235054c0e1bf90357/elevationstation/elevationstation.cpp#L55,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/elevationstation.csv
\pcheap_reuse,EquationGroup Tool,EQGPR,Exploitation,https://github.com/Yara-Rules/rules/blob/0f93570194a80d2f2032869055808b0ddcdfb360/malware/APT_eqgrp_apr17.yar#L2358,high,N/A,high,offensive_tool,detection rule,N/A,https://github.com/Yara-Rules/rules/blob/0f93570194a80d2f2032869055808b0ddcdfb360/malware/APT_eqgrp_apr17.yar#L2358
\_test_pipe-*,EternalHushFramework,EternalHushFramework,C2,https://github.com/APT64/EternalHushFramework/blob/b2a70f0d958618d13da0157161d55b1b5194c9a8/prebuilt/CoreLibs/Lib/test/libregrtest/win_utils.py#L45,critical,medium,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/EternalHushFramework.csv
\typeperf_output_*,EternalHushFramework,EternalHushFramework,C2,https://github.com/APT64/EternalHushFramework/blob/b2a70f0d958618d13da0157161d55b1b5194c9a8/prebuilt/CoreLibs/Lib/test/libregrtest/win_utils.py#L45,critical,medium,medium,offensive_tool,Hunting,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/EternalHushFramework.csv
\kangaroo*,used by EventCleaner,EventCleaner,Defense Evasion,https://github.com/QAX-A-Team/EventCleaner/blob/56ab12fe8ba3b6484e1a6f04bf71251f4c037394/EventCleaner/EventCleaner.cpp#L370,high,low,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/EventCleaner.csv
\EvtMuteHook_Rule_Pipe,This is a tool that allows you to offensively use YARA to apply a filter to the events being reported by windows event logging,EvtMute,Defense Evasion,https://github.com/bats3c/EvtMute/blob/master/README.md,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/EvtMute.csv
\cachedumppipe,A Tool For Mass Password Auditing of Windows Systems,fgdump,Credential Access,https://github.com/ihamburglar/fgdump/blob/c883704e5e34d7aa8fce6fb0a0777df3ebb693ac/cachedump/cachedump.h#L7,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\UxdEvent_API_Service,Filecoder Ransomware,Filecoder,Ransomware,https://www.trendmicro.com/vinfo/ae/threat-encyclopedia/malware/ransom.win32.crytem.a,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\fuego-control,fuegoshell pipe name,fuegoshell,Lateral Movement,https://github.com/v1k1ngfr/fuegoshell,critical,none,critical,offensive_tool,detection rule,https://github.com/v1k1ngfr/fuegoshell/blob/af3e24da722fd3a654e841e98644e84ff406ae6a/fuegoshell/generate_reverse_fuegoshell.ps1#L2,https://github.com/mthcht/awesome-lists
\fuego-data,fuegoshell pipe name,fuegoshell,Lateral Movement,https://github.com/v1k1ngfr/fuegoshell,critical,none,critical,offensive_tool,detection rule,https://github.com/v1k1ngfr/fuegoshell/blob/af3e24da722fd3a654e841e98644e84ff406ae6a/fuegoshell/generate_reverse_fuegoshell.ps1#L1,https://github.com/mthcht/awesome-lists
\fuegoshell,fuegoshell pipe name,fuegoshell,Lateral Movement,https://github.com/v1k1ngfr/fuegoshell,critical,none,critical,offensive_tool,detection rule,https://github.com/v1k1ngfr/fuegoshell/blob/af3e24da722fd3a654e841e98644e84ff406ae6a/fuegoshell/generate_bind_fuegoshell.ps1#L4,https://github.com/mthcht/awesome-lists
\turum,Genasom Ransomware,Genasom,Ransomware,https://github.com/roadwy/DefenderYara/blob/9bbdb7f9fd3513ce30aa69cd1d88830e3cf596ca/Ransom/Win32/Genasom/Ransom_Win32_Genasom_SD_MTB.yar#L9,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\GhidraGDB,Ghidra is a software reverse engineering (SRE) framework,Ghidra,Reverse Engineering,https://github.com/NationalSecurityAgency/ghidra/blob/fae64a82c0142b0cf29e1b59dd775fa516bb1044/Ghidra/Framework/Pty/src/test/java/ghidra/pty/windows/NamedPipeTest.java#L46,medium,N/A,medium,greyware_tool,Hunting,N/A,https://github.com/NationalSecurityAgency/ghidra/blob/fae64a82c0142b0cf29e1b59dd775fa516bb1044/Ghidra/Framework/Pty/src/test/java/ghidra/pty/windows/NamedPipeTest.java#L46
\testascxzc,Windows Backdoor Govrat,Govrat,Malware,https://github.com/roadwy/DefenderYara/blob/9bbdb7f9fd3513ce30aa69cd1d88830e3cf596ca/Backdoor/Win32/Govrat/Backdoor_Win32_Govrat_A.yar#L25,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\EngineerPipe,A C# Command & Control framework,HardHatC2,C2,https://github.com/DragoQCC/HardHatC2/blob/e55b0d39345cbe7512c4f96e5a9128c305473b93/Engineer/Commands/InlineShellcode.cs#L47,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/E-H/HardHatC2.csv
\demon_pipe,Havoc C2 pipe name,Havoc,C2,https://github.com/HavocFramework/Havoc/blob/ea3646e055eb1612dcc956130fd632029dbf0b86/profiles/http_smb.yaotl#L67,high,none,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/E-H/havoc.csv
\Ctx_WinStation_API_service,impacket dcerpc,impacket,Exploitation,https://github.com/fortra/impacket/blob/2de29184dc93247829099fcbc52ff256817c6a94/impacket/dcerpc/v5/tsts.py#L2031,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/I-K/impacket.csv
"\LSM_API_service	",impacket dcerpc,impacket,Exploitation,https://github.com/fortra/impacket/blob/2de29184dc93247829099fcbc52ff256817c6a94/impacket/dcerpc/v5/tsts.py#L2031,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/I-K/impacket.csv
\protected_storage,impacket dpapi - using the DPAPI/Vault structures to unlock Windows Secrets,impacket,Credential Access,https://github.com/fortra/impacket/blob/2de29184dc93247829099fcbc52ff256817c6a94/examples/dpapi.py#L261,high,high,medium,offensive_tool,Hunting,pipe used by multiple projects - subject to false positives,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/I-K/impacket.csv
\TermSrv_API_service,impacket dcerpc,impacket,Exploitation,https://github.com/fortra/impacket/blob/2de29184dc93247829099fcbc52ff256817c6a94/impacket/dcerpc/v5/tsts.py#L2031,critical,low,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/I-K/impacket.csv
\AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA*,impacketremoteshell default pipe name,impacketremoteshell,Lateral Movement,https://github.com/trustedsec/The_Shelf,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/impacketremoteshell.csv
\RemoteMaint,impacketremoteshell default pipe name,impacketremoteshell,Lateral Movement,https://github.com/trustedsec/The_Shelf,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/impacketremoteshell.csv
\forRealLegit,InlineExecute-Assembly,InlineExecute-Assembly,Exploitation,https://github.com/anthemtotheego/InlineExecute-Assembly/blob/402637229d1c9abab221119601143732eb867e26/README.md?plain=1#L50,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\toteslegit,InlineExecute-Assembly,InlineExecute-Assembly,Exploitation,https://github.com/anthemtotheego/InlineExecute-Assembly/blob/402637229d1c9abab221119601143732eb867e26/inlineExecuteAssembly/inlineExecute-Assembly.cna#L18,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\ExploitPipe,InstallerFileTakeOver exploit POC CVE-2021-41379 patch bypass,InstallerFileTakeOver,Privilege Escalation,https://github.com/Al1ex/WindowsElevation/blob/e8fa2760f0ea29d1cdc759c623021d5ab7b715e2/InstallerFileTakeOver/InstallerFileTakeOver/InstallerFileTakeOver.cpp#L354,critical,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/awesome-lists
\Something,Invoke-SMBRemoting,Invoke-SMBRemoting,Lateral Movement,https://github.com/Leo4j/Amnesiac/blob/216ba3a280bf49ea3f5b1afab80f843bbde3548d/Tools/Invoke-SMBRemoting.ps1#L32,high,low,high,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/I-K/Invoke-SMBRemoting.csv
\FASTDOS,Iron Tiger Malware - PlugX DosEmulator,Iron Tiger,Malware,https://github.com/Neo23x0/signature-base/blob/857ac87b4b9fb5d71cdd5935766b330f71845a75/yara/apt_irontiger_trendmicro.yar#L169,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/Neo23x0/signature-base/blob/857ac87b4b9fb5d71cdd5935766b330f71845a75/yara/apt_irontiger_trendmicro.yar#L169
\kekeo_tsssp_endpoint,kekeo stealing credentials,kekeo,Credential Access,https://github.com/blackc03r/OSCP-Cheatsheets/blob/master/offensive-security/credential-access-and-credential-dumping/dumping-delegated-default-kerberos-and-ntlm-credentials-without-touching-lsass.md,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/I-K/kekeo.csv
\asio-A0812896-741A-484D-AF23-BE51BF620E22-*,Kismet is an open source sniffer - WIDS - wardriver and packet capture tool for Wi-Fi,Kismet,Exploitation,https://github.com/kismetwireless/kismet/blob/929924f71019121345fc2b69fb30b6507c90023d/boost/asio/impl/connect_pipe.ipp#L66,high,medium,medium,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/I-K/kismet.csv
\imposecost,Koh Token Stealer,Koh Token Stealer,Credential Access,https://github.com/GhostPack/Koh/blob/2e60ce274dc4f0bdce265174526f6d439f6a1414/Clients/BOF/KohClient.c#L12,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\imposingcost,Koh Token Stealer,Koh Token Stealer,Credential Access,https://github.com/GhostPack/Koh/blob/2e60ce274dc4f0bdce265174526f6d439f6a1414/Clients/BOF/KohClient.c#L12,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv
\6e7645c4-32c5-4fe3-aabf-e94c2f4370e7,LiquidSnake is a tool that allows operators to perform fileless lateral movement using WMI Event Subscriptions and GadgetToJScript,LiquidSnake,Lateral Movement,https://github.com/RiccardoAncarani/LiquidSnake/blob/d2175346393d2199efe99b362301ea86ef3ce7c6/CSharpNamedPipeLoader/CSharpNamedPipeLoader/Program.cs#L410,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/RiccardoAncarani/LiquidSnake/blob/d2175346393d2199efe99b362301ea86ef3ce7c6/CSharpNamedPipeLoader/CSharpNamedPipeLoader/Program.cs#L410
\LogMeInRescue_rarc_r_*,LogMeIn  default RMM usage,LogMeIn,RMM,https://www.logmeinrescue.com/,high,none,high,greyware_tool,detection rule,used by LMI_RescueRC.exe and LMI_Rescue_srv.exe,irustotal.com/gui/home/search
\LogMeInRescue_rarc_w_*,LogMeIn  default RMM usage,LogMeIn,RMM,https://www.logmeinrescue.com/,high,none,high,greyware_tool,detection rule,used by LMI_RescueRC.exe and LMI_Rescue_srv.exe,irustotal.com/gui/home/search
\LogMeInRescue_ipc*,LogMeIn  default RMM usage,LogMeIn,RMM,https://www.logmeinrescue.com/,high,none,high,greyware_tool,detection rule,used by LMI_RescueRC.exe LMI_Rescue.exe and LMI_Rescue_srv.exe ,irustotal.com/gui/home/search
\malDBG,malware analysis lokibot,lokibot,Malware,https://github.com/Dump-GUY/Malware-analysis-and-Reverse-engineering/blob/26ce0dd827b17d5db25abee125dd890e64c3f806/Lokibot_Analyzing/Lokibot_analyzing.md?plain=1#L37,medium,N/A,high,offensive_tool,detection rule,N/A,https://github.com/Dump-GUY/Malware-analysis-and-Reverse-engineering/blob/26ce0dd827b17d5db25abee125dd890e64c3f806/Lokibot_Analyzing/Lokibot_analyzing.md?plain=1#L37
\lsarelayx,lsarelayx usage,lsarelayx,Credential Access,https://github.com/CCob/lsarelayx/blob/b45e4565c5688a395c54b92654d68b2514af39eb/plugin/lsarelayx.cpp#L105,high,none,critical,offensive_tool,detection rule,N/A,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/L-N/lsarelayx.csv
\MalDevEDR,EDR/AV Simulation for Malware Development,MalDevEDR,Exploitation,https://github.com/redt1de/MaldevEDR/blob/1b48281149e717f1bab4d78c8412fb333a7c83bf/config.yaml#L19,critical,N/A,critical,offensive_tool,detection rule,N/A,https://github.com/redt1de/MaldevEDR/blob/1b48281149e717f1bab4d78c8412fb333a7c83bf/config.yaml#L19
